Fibo,N
0,0
1,1
2,2
3,3
4,5
5,8
6,13
7,21
8,34
9,55
10,89
11,144
12,233
13,377
14,610
15,987
16,1597
17,2584
18,4181
19,6765
20,10946
21,17711
22,28657
23,46368
24,75025
25,121393
26,196418
27,317811
28,514229
29,832040
30,1346269
31,2178309
32,3524578
33,5702887
34,9227465
35,14930352
36,24157817
37,39088169
38,63245986
39,102334155
40,165580141
41,267914296
42,433494437
43,701408733
44,1134903170
45,1836311903
46,2971215073
47,4807526976
48,7778742049
49,12586269025
50,20365011074
51,32951280099
52,53316291173
53,86267571272
54,1.39584E+11
55,2.25851E+11
56,3.65435E+11
57,5.91287E+11
58,9.56722E+11
59,1.54801E+12
60,2.50473E+12
61,4.05274E+12
62,6.55747E+12
63,1.06102E+13
64,1.71677E+13
65,2.77779E+13
66,4.49456E+13
67,7.27235E+13
68,1.17669E+14
69,1.90392E+14
70,3.08062E+14
71,4.98454E+14
72,8.06516E+14
73,1.30497E+15
74,2.11149E+15
75,3.41645E+15
76,5.52794E+15
77,8.94439E+15
78,1.44723E+16
79,2.34167E+16
80,3.78891E+16
81,6.13058E+16
82,9.91949E+16
83,1.60501E+17
84,2.59695E+17
85,4.20196E+17
86,6.79892E+17
87,1.10009E+18
88,1.77998E+18
89,2.88007E+18
90,4.66005E+18
91,7.54011E+18
92,1.22002E+19
93,1.29353E+18
94,1.34937E+19
95,1.47872E+19
96,9.83417E+18
97,6.17464E+18
98,1.60088E+19
99,3.73671E+18
100,1.29878E+18
101,5.03549E+18
102,6.33427E+18
103,1.13698E+19
104,1.7704E+19
105,1.0627E+19
106,9.88431E+18
107,2.0646E+18
108,1.19489E+19
109,1.40135E+19
110,7.51566E+18
111,3.08242E+18
112,1.05981E+19
113,1.36805E+19
114,5.83183E+18
115,1.06559E+18
116,6.89742E+18
117,7.96301E+18
118,1.48604E+19
119,4.37669E+18
120,7.90376E+17
121,5.16707E+18
122,5.95744E+18
123,1.11245E+19
124,1.7082E+19
125,9.75973E+18
126,8.39494E+18
127,1.81547E+19
128,8.10286E+18
129,7.81079E+18
130,1.59136E+19
131,5.27769E+18
132,2.74459E+18
133,8.02229E+18
134,1.07669E+19
135,3.42421E+17
136,1.11093E+19
137,1.14517E+19
138,4.11428E+18
139,1.5566E+19
140,1.23353E+18
141,1.67995E+19
142,1.80331E+19
143,1.63859E+19
144,1.59722E+19
145,1.39113E+19
146,1.14367E+19
147,6.90128E+18
148,1.8338E+19
149,6.79254E+18
150,6.6838E+18
151,1.34763E+19
152,1.7134E+18
153,1.51897E+19
154,1.69031E+19
155,1.36461E+19
156,1.21025E+19
157,7.30195E+18
158,9.57756E+17
159,8.25971E+18
160,9.21746E+18
161,1.74772E+19
162,8.24789E+18
163,7.27832E+18
164,1.55262E+19
165,4.35778E+18
166,1.43724E+18
167,5.79502E+18
168,7.23227E+18
169,1.30273E+19
170,1.81281E+18
171,1.48401E+19
172,1.66529E+19
173,1.30463E+19
174,1.12524E+19
175,5.85197E+18
176,1.71044E+19
177,4.50964E+18
178,3.16732E+18
179,7.67696E+18
180,1.08443E+19
181,7.44946E+16
182,1.09188E+19
183,1.09933E+19
184,3.46529E+18
185,1.44586E+19
186,1.79239E+19
187,1.39357E+19
188,1.34128E+19
189,8.90172E+18
190,3.86776E+18
191,1.27695E+19
192,1.66372E+19
193,1.096E+19
194,9.15046E+18
195,1.66368E+18
196,1.08141E+19
197,1.24778E+19
198,4.84522E+18
199,1.7323E+19
200,3.72151E+18
201,2.59781E+18
202,6.31932E+18
203,8.91712E+18
204,1.52364E+19
205,5.70682E+18
206,2.49651E+18
207,8.20333E+18
208,1.06998E+19
209,4.56421E+17
210,1.11563E+19
211,1.16127E+19
212,4.32219E+18
213,1.59349E+19
214,1.81032E+18
215,1.77452E+19
216,1.10877E+18
217,4.07222E+17
218,1.51599E+18
219,1.92322E+18
220,3.43921E+18
221,5.36242E+18
222,8.80163E+18
223,1.41641E+19
224,4.51894E+18
225,2.36254E+17
226,4.7552E+18
227,4.99145E+18
228,9.74665E+18
229,1.47381E+19
230,6.038E+18
231,2.32935E+18
232,8.36735E+18
233,1.06967E+19
234,6.17299E+17
235,1.1314E+19
236,1.19313E+19
237,4.79854E+18
238,1.67298E+19
239,3.08164E+18
240,1.36473E+18
241,4.44636E+18
242,5.81109E+18
243,1.02575E+19
244,1.60685E+19
245,7.87926E+18
246,5.50106E+18
247,1.33803E+19
248,4.34636E+17
249,1.3815E+19
250,1.42496E+19
251,9.6178E+18
252,5.42065E+18
253,1.50385E+19
254,2.01236E+18
255,1.70508E+19
256,6.16434E+17
257,1.76673E+19
258,1.82837E+19
259,1.75042E+19
260,1.73411E+19
261,1.63986E+19
262,1.5293E+19
263,1.32448E+19
264,1.0091E+19
265,4.88907E+18
266,1.49801E+19
267,1.42242E+18
268,1.64025E+19
269,1.78249E+19
270,1.57807E+19
271,1.51589E+19
272,1.24928E+19
273,9.2049E+18
274,3.25095E+18
275,1.24558E+19
276,1.57068E+19
277,9.71589E+18
278,6.97594E+18
279,1.66918E+19
280,5.22102E+18
281,3.46611E+18
282,8.68713E+18
283,1.21532E+19
284,2.39363E+18
285,1.45469E+19
286,1.69405E+19
287,1.30406E+19
288,1.15344E+19
289,6.12824E+18
290,1.76626E+19
291,5.34411E+18
292,4.55997E+18
293,9.90408E+18
294,1.44641E+19
295,5.92139E+18
296,1.9387E+18
297,7.86009E+18
298,9.79878E+18
299,1.76589E+19
300,9.01091E+18
301,8.22304E+18
302,1.72339E+19
303,7.01024E+18
304,5.79744E+18
305,1.28077E+19
306,1.58382E+17
307,1.29661E+19
308,1.31244E+19
309,7.64377E+18
310,2.32147E+18
311,9.96524E+18
312,1.22867E+19
313,3.80522E+18
314,1.60919E+19
315,1.4504E+18
316,1.75423E+19
317,5.45995E+17
318,1.80883E+19
319,1.87581E+17
320,1.82759E+19
321,1.67484E+16
322,1.82927E+19
323,1.83094E+19
324,1.81553E+19
325,1.8018E+19
326,1.77266E+19
327,1.72978E+19
328,1.65776E+19
329,1.54287E+19
330,1.35596E+19
331,1.05416E+19
332,5.6544E+18
333,1.61959E+19
334,3.4036E+18
335,1.15281E+18
336,4.55641E+18
337,5.70922E+18
338,1.02656E+19
339,1.59749E+19
340,7.79375E+18
341,5.32187E+18
342,1.31156E+19
343,1.84375E+19
344,1.31064E+19
345,1.30971E+19
346,7.75674E+18
347,2.40711E+18
348,1.01638E+19
349,1.25709E+19
350,4.28805E+18
351,1.6859E+19
352,2.7003E+18
353,1.11256E+18
354,3.81286E+18
355,4.92541E+18
356,8.73827E+18
357,1.36637E+19
358,3.95521E+18
359,1.76189E+19
360,3.12737E+18
361,2.29953E+18
362,5.4269E+18
363,7.72643E+18
364,1.31533E+19
365,2.43301E+18
366,1.55863E+19
367,1.80193E+19
368,1.51589E+19
369,1.47315E+19
370,1.14437E+19
371,7.72851E+18
372,7.2549E+17
373,8.454E+18
374,9.17949E+18
375,1.76335E+19
376,8.36624E+18
377,7.55299E+18
378,1.59192E+19
379,5.02547E+18
380,2.49796E+18
381,7.52343E+18
382,1.00214E+19
383,1.75448E+19
384,9.11946E+18
385,8.21753E+18
386,1.7337E+19
387,7.10778E+18
388,5.99803E+18
389,1.31058E+19
390,6.57087E+17
391,1.37629E+19
392,1.442E+19
393,9.73613E+18
394,5.70936E+18
395,1.54455E+19
396,2.7081E+18
397,1.81536E+19
398,2.41494E+18
399,2.12178E+18
400,4.53672E+18
401,6.6585E+18
402,1.11952E+19
403,1.78537E+19
404,1.06022E+19
405,1.00091E+19
406,2.16457E+18
407,1.21737E+19
408,1.43383E+19
409,8.06524E+18
410,3.95678E+18
411,1.2022E+19
412,1.59788E+19
413,9.55409E+18
414,7.08615E+18
415,1.66402E+19
416,5.27963E+18
417,3.47312E+18
418,8.75276E+18
419,1.22259E+19
420,2.53189E+18
421,1.47578E+19
422,1.72897E+19
423,1.36007E+19
424,1.24436E+19
425,7.59756E+18
426,1.59442E+18
427,9.19198E+18
428,1.07864E+19
429,1.53164E+18
430,1.2318E+19
431,1.38497E+19
432,7.72099E+18
433,3.12393E+18
434,1.08449E+19
435,1.39688E+19
436,6.36702E+18
437,1.88912E+18
438,8.25613E+18
439,1.01453E+19
440,1.84014E+19
441,1.00999E+19
442,1.00545E+19
443,1.70769E+18
444,1.17622E+19
445,1.34699E+19
446,6.78539E+18
447,1.80856E+18
448,8.59395E+18
449,1.04025E+19
450,5.49727E+17
451,1.09522E+19
452,1.1502E+19
453,4.00747E+18
454,1.55094E+19
455,1.07017E+18
456,1.65796E+19
457,1.76498E+19
458,1.57826E+19
459,1.49857E+19
460,1.23216E+19
461,8.86053E+18
462,2.73537E+18
463,1.15959E+19
464,1.43313E+19
465,7.48042E+18
466,3.36494E+18
467,1.08454E+19
468,1.42103E+19
469,6.60892E+18
470,2.37247E+18
471,8.98139E+18
472,1.13539E+19
473,1.8885E+18
474,1.32424E+19
475,1.51309E+19
476,9.92648E+18
477,6.6106E+18
478,1.65371E+19
479,4.70093E+18
480,2.79126E+18
481,7.49218E+18
482,1.02834E+19
483,1.77756E+19
484,9.61231E+18
485,8.94119E+18
486,1.06762E+17
487,9.04795E+18
488,9.15472E+18
489,1.82027E+19
490,8.91064E+18
491,8.66657E+18
492,1.75772E+19
493,7.79703E+18
494,6.9275E+18
495,1.47245E+19
496,3.20529E+18
497,1.79298E+19
498,2.68836E+18
499,2.17143E+18
